app_id,data_type,purpose,privacy_type,data_category
1510467732,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
1510467732,Name,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
1510467732,Other User Content,Developer’s Advertising or Marketing,Data Linked to You,User Content
1510467732,Device ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
1510467732,Precise Location,Analytics,Data Linked to You,Location
1510467732,Email Address,Analytics,Data Linked to You,Contact Info
1510467732,Name,Analytics,Data Linked to You,Contact Info
1510467732,Other User Content,Analytics,Data Linked to You,User Content
1510467732,Search History,Analytics,Data Linked to You,Search History
1510467732,User ID,Analytics,Data Linked to You,Identifiers
1510467732,Device ID,Analytics,Data Linked to You,Identifiers
1510467732,Product Interaction,Analytics,Data Linked to You,Usage Data
1510467732,Other Usage Data,Analytics,Data Linked to You,Usage Data
1510467732,Crash Data,Analytics,Data Linked to You,Diagnostics
1510467732,Performance Data,Analytics,Data Linked to You,Diagnostics
1510467732,Other User Content,Product Personalization,Data Linked to You,User Content
1510467732,Precise Location,App Functionality,Data Linked to You,Location
1510467732,Coarse Location,App Functionality,Data Linked to You,Location
1510467732,Email Address,App Functionality,Data Linked to You,Contact Info
1510467732,Name,App Functionality,Data Linked to You,Contact Info
1510467732,Photos or Videos,App Functionality,Data Linked to You,User Content
1510467732,Customer Support,App Functionality,Data Linked to You,User Content
1510467732,Other User Content,App Functionality,Data Linked to You,User Content
1510467732,Search History,App Functionality,Data Linked to You,Search History
1510467732,User ID,App Functionality,Data Linked to You,Identifiers
1510467732,Device ID,App Functionality,Data Linked to You,Identifiers
1510467732,Product Interaction,App Functionality,Data Linked to You,Usage Data
1510467732,Other Usage Data,App Functionality,Data Linked to You,Usage Data
1510467732,Crash Data,App Functionality,Data Linked to You,Diagnostics
1510467732,Performance Data,App Functionality,Data Linked to You,Diagnostics
6473833932,User ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
6473833932,Device ID,Developer’s Advertising or Marketing,Data Linked to You,Identifiers
6473833932,Product Interaction,Developer’s Advertising or Marketing,Data Linked to You,Usage Data
6473833932,Contacts,Analytics,Data Linked to You,Contacts
6473833932,Search History,Analytics,Data Linked to You,Search History
6473833932,User ID,Analytics,Data Linked to You,Identifiers
6473833932,Device ID,Analytics,Data Linked to You,Identifiers
6473833932,Other Usage Data,Analytics,Data Linked to You,Usage Data
6473833932,Other Diagnostic Data,Analytics,Data Linked to You,Diagnostics
6473833932,Contacts,Product Personalization,Data Linked to You,Contacts
6473833932,Other User Content,Product Personalization,Data Linked to You,User Content
6473833932,User ID,Product Personalization,Data Linked to You,Identifiers
6473833932,Device ID,Product Personalization,Data Linked to You,Identifiers
6473833932,Other Usage Data,Product Personalization,Data Linked to You,Usage Data
6473833932,Precise Location,App Functionality,Data Linked to You,Location
6473833932,Coarse Location,App Functionality,Data Linked to You,Location
6473833932,Contacts,App Functionality,Data Linked to You,Contacts
6473833932,Emails or Text Messages,App Functionality,Data Linked to You,User Content
6473833932,Photos or Videos,App Functionality,Data Linked to You,User Content
6473833932,Other User Content,App Functionality,Data Linked to You,User Content
6473833932,Search History,App Functionality,Data Linked to You,Search History
6473833932,User ID,App Functionality,Data Linked to You,Identifiers
6473833932,Device ID,App Functionality,Data Linked to You,Identifiers
6473833932,Product Interaction,App Functionality,Data Linked to You,Usage Data
6473833932,Other Usage Data,App Functionality,Data Linked to You,Usage Data
6473833932,Crash Data,App Functionality,Data Linked to You,Diagnostics
6473833932,Performance Data,App Functionality,Data Linked to You,Diagnostics
6473833932,Other Diagnostic Data,App Functionality,Data Linked to You,Diagnostics
1571127299,,,Data Not Collected,
1264730676,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
1606306441,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1606306441,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
6475702074,,,Data Not Collected,
478686126,Coarse Location,,Data Used to Track You,Location
478686126,Device ID,,Data Used to Track You,Identifiers
478686126,Product Interaction,,Data Used to Track You,Usage Data
478686126,Advertising Data,,Data Used to Track You,Usage Data
478686126,Crash Data,,Data Used to Track You,Diagnostics
478686126,Performance Data,,Data Used to Track You,Diagnostics
478686126,Coarse Location,Third-Party Advertising,Data Linked to You,Location
478686126,Device ID,Third-Party Advertising,Data Linked to You,Identifiers
478686126,Product Interaction,Third-Party Advertising,Data Linked to You,Usage Data
478686126,Advertising Data,Third-Party Advertising,Data Linked to You,Usage Data
478686126,Performance Data,Third-Party Advertising,Data Linked to You,Diagnostics
478686126,Email Address,Developer’s Advertising or Marketing,Data Linked to You,Contact Info
478686126,Coarse Location,Analytics,Data Linked to You,Location
478686126,Device ID,Analytics,Data Linked to You,Identifiers
478686126,Product Interaction,Analytics,Data Linked to You,Usage Data
478686126,Advertising Data,Analytics,Data Linked to You,Usage Data
478686126,Performance Data,Analytics,Data Linked to You,Diagnostics
478686126,Email Address,App Functionality,Data Linked to You,Contact Info
478686126,Name,App Functionality,Data Linked to You,Contact Info
478686126,Crash Data,Third-Party Advertising,Data Not Linked to You,Diagnostics
478686126,Crash Data,Analytics,Data Not Linked to You,Diagnostics
6478131984,,,Data Not Collected,
1537372328,Purchase History,Analytics,Data Not Linked to You,Purchases
1537372328,Purchase History,App Functionality,Data Not Linked to You,Purchases
1537372328,Other Diagnostic Data,App Functionality,Data Not Linked to You,Diagnostics
6466820347,,,Data Not Collected,
6477749286,,,Data Not Collected,
1667217062,Name,App Functionality,Data Linked to You,Contact Info
1667217062,Email Address,Other Purposes,Data Linked to You,Contact Info
1667217062,User ID,Analytics,Data Not Linked to You,Identifiers
1667217062,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
1365531024,Purchase History,Analytics,Data Not Linked to You,Purchases
1365531024,Purchase History,App Functionality,Data Not Linked to You,Purchases
1365531024,User ID,App Functionality,Data Not Linked to You,Identifiers
6502086753,,,Data Not Collected,
1489698531,Purchase History,Analytics,Data Not Linked to You,Purchases
1489698531,Product Interaction,Analytics,Data Not Linked to You,Usage Data
1489698531,Crash Data,Analytics,Data Not Linked to You,Diagnostics
1489698531,Product Interaction,Product Personalization,Data Not Linked to You,Usage Data
1489698531,Purchase History,App Functionality,Data Not Linked to You,Purchases
1489698531,User ID,App Functionality,Data Not Linked to You,Identifiers
1489698531,Product Interaction,App Functionality,Data Not Linked to You,Usage Data
1489698531,Crash Data,App Functionality,Data Not Linked to You,Diagnostics
405028510,Product Interaction,Analytics,Data Linked to You,Usage Data
405028510,Physical Address,App Functionality,Data Linked to You,Contact Info
405028510,Email Address,App Functionality,Data Linked to You,Contact Info
405028510,Name,App Functionality,Data Linked to You,Contact Info
