data_type,1st Party,Amplitude,Apple,Braze,Doubleclick,Facebook,Firebase,Google,Google APIs,Merchant-center-analytics,Microsoft,Mixpanel,RevenueCat,TelemetryDeck,Unity,YouTube,Other 3rd Party
app ver,23.0,19.0,27.0,7.0,16.0,12.0,21.0,27.0,28.0,7.0,49.0,22.0,55.0,18.0,13.0,10.0,330.0
system ver,16.0,6.0,0.0,7.0,0.0,11.0,20.0,2.0,7.0,0.0,45.0,19.0,45.0,16.0,5.0,9.0,128.0
language,18.0,13.0,0.0,0.0,6.0,1.0,19.0,20.0,0.0,7.0,46.0,0.0,37.0,16.0,5.0,10.0,107.0
usage info,15.0,14.0,0.0,7.0,0.0,0.0,0.0,1.0,8.0,0.0,21.0,22.0,6.0,17.0,3.0,6.0,54.0
identifier,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,2.0,22.0,0.0,4.0,0.0,1.0,94.0
phone num,2.0,0.0,11.0,6.0,2.0,0.0,0.0,10.0,5.0,6.0,4.0,13.0,0.0,3.0,1.0,8.0,65.0
geo location,3.0,11.0,16.0,5.0,0.0,3.0,3.0,0.0,15.0,0.0,1.0,4.0,0.0,14.0,0.0,5.0,47.0
session,7.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,31.0,10.0,0.0,14.0
type,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,29.0,6.0,0.0,35.0
usage time,10.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,2.0,36.0
browsing,5.0,3.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0
gameplay,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,5.0,33.0
model,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,24.0,15.0,0.0,0.0,5.0
name,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,36.0
device info,6.0,5.0,0.0,7.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
password,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0
browser type,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0
screen,2.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,19.0
manufacturer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,7.0
network,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
ip addr,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
person name,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
user id,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,6.0
employment,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
sdk ver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0
height,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
signature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
biographical,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
error report,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
