data_type,1st party,amplitude,braze,doubleclick,facebook,google,merchant-analytics,mixpanel,other 3rd party,unity
account,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
ad id,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0
app ver,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,12.0,2.0
billing,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
biographical,0.0,1.0,0.0,8.0,6.0,6.0,6.0,0.0,2.0,0.0
browser type,0.0,3.0,2.0,14.0,6.0,6.0,6.0,1.0,8.0,0.0
browsing,0.0,3.0,2.0,13.0,6.0,6.0,6.0,0.0,9.0,0.0
device info,1.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0
employment,0.0,4.0,0.0,7.0,0.0,0.0,0.0,2.0,9.0,0.0
error report,1.0,3.0,6.0,5.0,1.0,1.0,1.0,2.0,8.0,2.0
gameplay,1.0,6.0,3.0,14.0,6.0,6.0,6.0,7.0,9.0,2.0
geo location,1.0,8.0,6.0,15.0,6.0,6.0,6.0,6.0,12.0,2.0
hand tracking,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
height,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0
identifier,1.0,6.0,3.0,14.0,6.0,6.0,6.0,7.0,12.0,2.0
ip addr,0.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0
language,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,12.0,2.0
manufacturer,0.0,3.0,0.0,6.0,1.0,1.0,1.0,7.0,4.0,0.0
model,1.0,6.0,4.0,8.0,2.0,2.0,2.0,7.0,5.0,2.0
name,1.0,3.0,6.0,10.0,6.0,6.0,6.0,1.0,8.0,2.0
network,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
password,1.0,3.0,2.0,7.0,1.0,1.0,1.0,7.0,8.0,2.0
person name,0.0,5.0,0.0,4.0,1.0,1.0,1.0,4.0,2.0,0.0
phone num,1.0,8.0,6.0,15.0,6.0,6.0,6.0,6.0,10.0,2.0
screen,0.0,3.0,2.0,15.0,6.0,6.0,6.0,1.0,9.0,0.0
sdk ver,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0
session,1.0,7.0,6.0,12.0,3.0,3.0,3.0,7.0,12.0,2.0
signature,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
surrounding environment,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
system ver,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,12.0,2.0
type,1.0,6.0,6.0,11.0,2.0,2.0,2.0,4.0,12.0,2.0
usage info,1.0,7.0,6.0,15.0,6.0,6.0,6.0,7.0,12.0,2.0
usage time,1.0,5.0,6.0,12.0,3.0,3.0,3.0,7.0,9.0,2.0
user id,1.0,5.0,2.0,9.0,0.0,0.0,0.0,5.0,7.0,2.0
vr headset,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
vr movement,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0
