data_type,1st party,amplitude,braze,doubleclick,facebook,google,merchant-analytics,mixpanel,other 3rd party,unity
account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ad id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
app ver,9.0,4.0,1.0,6.0,5.0,9.0,3.0,4.0,99.0,2.0
billing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
biographical,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
browser type,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
browsing,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,17.0,0.0
device info,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
employment,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
error report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gameplay,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0
geo location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
hand tracking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
height,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
identifier,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,28.0,0.0
ip addr,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
language,8.0,2.0,0.0,2.0,0.0,7.0,3.0,0.0,32.0,1.0
manufacturer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
name,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
network,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
password,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
person name,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phone num,1.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,16.0,0.0
screen,2.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0,0.0
sdk ver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
session,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0
signature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
surrounding environment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
system ver,7.0,1.0,1.0,0.0,5.0,0.0,0.0,4.0,38.0,1.0
type,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0
usage info,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,18.0,1.0
usage time,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0
user id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vr headset,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
vr movement,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
