app_id,policy_file,total_tuples,collect_count,not_collect_count,total_data_types,data_types_collect,data_types_not_collect
1365531024,1365531024_1blocker_com_privacy_policy.json,7,1,3,3,pii,geo location|information|pii
6476902378,N/A,0,0,0,0,N/A,N/A
1631145223,1631145223_model-viewer-67411_web_app_privacy_policy.json,19,6,1,6,browsing|device id|information|ip addr|pii|system ver,information
6469645676,6469645676_brieg_eu_privacy_policy.json,0,0,0,0,N/A,N/A
6476882081,6476882081_app_ludenso_com_privacy_policy.json,2,0,2,2,N/A,pii|usage info
6459834117,6459834117_caseadri_com_privacy_policy.json,14,3,1,4,information|ip addr|usage info,pii
6444638017,6444638017_caseadri_com_privacy_policy.json,14,3,1,4,information|ip addr|usage info,pii
6448279734,6448279734_heyaiku_app_privacy_policy.json,1,1,0,1,information,N/A
1051726944,1051726944_roadfiresoftware_com_privacy_policy.json,1,0,1,1,N/A,information
405028510,405028510_arte_tv_privacy_policy.json,14,4,0,4,comment|information|pii|usage info,N/A
700695106,700695106_darfdesign_com_privacy_policy.json,32,9,2,9,browsing|device id|email addr|geo location|information|ip addr|pii|system ver|usage info,information|pii
1018301773,1018301773_adblockpro_com_privacy_policy.json,0,0,0,0,N/A,N/A
6476893267,N/A,0,0,0,0,N/A,N/A
1289012427,1289012427_benricemccarthy_com_privacy_policy.json,0,0,0,0,N/A,N/A
1183533416,1183533416_studioamanga_com_privacy_policy.json,1,0,1,1,N/A,pii
1296674639,1296674639_apparentlogic_com_privacy_policy.json,22,13,1,13,audio|camera|contact|device info|geo location|identifier|information|non-pii|person name|photo|pii|type|usage info,pii
364899325,364899325_aircoaster_ziconic_com_privacy_policy.json,14,7,1,7,browsing|device id|email addr|information|ip addr|pii|system ver,information
6477749286,6477749286_labs_laan_com_privacy_policy.json,23,10,1,10,browser type|device id|device info|geo location|information|ip addr|non-pii|system ver|type|usage info,geo location
993160329,993160329_iubenda_com_privacy_policy.json,59,13,1,13,device info|email addr|error report|geo location|identifier|information|interest|ip addr|message log|password|pii|usage info|usage time,pii
1669560515,N/A,0,0,0,0,N/A,N/A
978589174,978589174_alpenglowapp_com_privacy_policy.json,12,4,0,4,geo location|information|pii|usage info,N/A
1102236212,1102236212_ambi_se_privacy_policy.json,6,2,0,2,information|usage info,N/A
6476312652,6476312652_adamfoot_dev_privacy_policy.json,9,5,1,5,email addr|information|person name|phone num|pii,information
1449511522,1449511522_acalc_de_privacy_policy.json,50,10,2,10,account|app ver|browsing|email addr|information|ip addr|pii|system ver|usage info|usage time,information|pii
743843090,743843090_athanpro_com_privacy_policy.json,51,8,0,8,device id|error report|identifier|information|ip addr|pii|usage info|usage time,N/A
6446608944,N/A,0,0,0,0,N/A,N/A
6475745854,N/A,0,0,0,0,N/A,N/A
1082170746,1082170746_awaremac_com_privacy_policy.json,5,2,1,2,audio|information,information
1560309401,1560309401_aware_leonifrancesco_com_privacy_policy.json,258,28,2,28,app ver|audio|billing|browser type|browsing|device id|device info|email addr|employment|error report|gameplay|geo location|hardware|identifier|information|interest|ip addr|language|manufacturer|message log|model|phone num|pii|system ver|type|usage info|usage time|vr movement,information|pii
1532017999,1532017999_axnote_app_privacy_policy.json,8,1,2,2,information,information|pii
6469053057,6469053057_biltapp_com_privacy_policy.json,133,15,1,15,audio|billing|camera|device info|email addr|identifier|information|ip addr|non-pii|person name|pii|session|usage info|usage time|user id,pii
6467695476,6467695476_bonkbonkbonk_app_privacy_policy.json,53,7,0,7,audio|email addr|information|non-pii|phone num|pii|usage info,N/A
6443711183,6443711183_elitehoopsapp_com_privacy_policy.json,0,0,0,0,N/A,N/A
6477874436,6477874436_docs_google_com_privacy_policy.json,0,0,0,0,N/A,N/A
711503134,711503134_peterborgapps_com_privacy_policy.json,12,2,0,2,information|pii,N/A
6468541457,6468541457_thatvirtualboy_com_privacy_policy.json,0,0,0,0,N/A,N/A
6481528867,N/A,0,0,0,0,N/A,N/A
282935706,282935706_bible_com_privacy_policy.json,315,30,3,30,age|audio|belief|billing|browser type|browsing|contact|device id|device info|education|email addr|ethnic|gameplay|geo location|information|interest|ip addr|language|mental|message log|non-pii|person name|phone num|photo|pii|sexuality|system ver|usage info|usage time|user id,billing|information|pii
605766199,605766199_abras_me_privacy_policy.json,13,3,2,3,information|pii|usage info,information|usage info
478686126,478686126_bibliajfa_com_br_privacy_policy.json,65,9,3,9,camera|contact|device id|device info|email addr|information|person name|pii|usage info,information|pii|usage info
6478182067,N/A,0,0,0,0,N/A,N/A
6473833932,6473833932_bloomberg_com_privacy_policy.json,167,17,1,17,audio|billing|browsing|device info|education|email addr|employment|geo location|identifier|information|interest|network|password|person name|pii|usage info|user id,pii
1630222596,1630222596_kllandinc_com_privacy_policy.json,10,1,8,9,pii,contact|email addr|geo location|information|person name|phone num|photo|usage info
1478757472,1478757472_bluebird_app_privacy_policy.json,7,1,6,6,information,browsing|device info|geo location|information|pii|usage info
1531591752,N/A,0,0,0,0,N/A,N/A
6478508584,6478508584_toastylabsnyc_github_io_privacy_policy.json,15,6,0,6,billing|contact|email addr|information|person name|pii,N/A
1605558336,1605558336_keepfloating_com_privacy_policy.json,81,18,1,18,ad id|age|billing|browsing|device info|email addr|hardware|height|information|ip addr|message log|person name|pii|software|type|usage info|usage time|weight,information
290853822,N/A,0,0,0,0,N/A,N/A
6443904179,6443904179_breadpad_com_privacy_policy.json,27,6,1,6,contact|error report|information|person name|pii|usage info,information
1512681263,1512681263_alexanderlogan_co_uk_privacy_policy.json,11,3,3,4,billing|information|usage info,billing|information|pii
6478073283,6478073283_bridgesapp_app_privacy_policy.json,4,3,0,3,information|non-pii|usage info,N/A
6478857571,N/A,0,0,0,0,N/A,N/A
1469995354,1469995354_highcaffeinecontent_com_privacy_policy.json,1,1,0,1,pii,N/A
6479172232,N/A,0,0,0,0,N/A,N/A
694580816,N/A,0,0,0,0,N/A,N/A
961390574,961390574_support_meetcarrot_com_privacy_policy.json,106,14,1,14,browser type|browsing|email addr|geo location|information|ip addr|language|message log|network|non-pii|pii|system ver|type|usage info,geo location
1565667811,1565667811_smicker_com_privacy_policy.json,0,0,0,0,N/A,N/A
1631243885,N/A,0,0,0,0,N/A,N/A
1672356376,1672356376_caseyliss_com_privacy_policy.json,6,1,1,2,usage info,pii
1472875808,1472875808_cardpointers_com_privacy_policy.json,39,11,1,11,browser type|browsing|geo location|information|ip addr|network|pii|system ver|type|usage info|usage time,information
1448744070,1448744070_flexibits_com_privacy_policy.json,86,19,2,19,billing|browser type|browsing|contact|device info|email addr|gameplay|geo location|identifier|information|ip addr|message log|non-pii|person name|phone num|pii|system ver|type|usage info,pii|usage info
6476697957,N/A,0,0,0,0,N/A,N/A
6477806929,N/A,0,0,0,0,N/A,N/A
6448189664,6448189664_tanrohan_com_privacy_policy.json,5,1,1,2,photo,information
6476618172,6476618172_celestia_mobi_privacy_policy.json,23,3,0,3,error report|information|pii,N/A
6450510658,N/A,0,0,0,0,N/A,N/A
6443633176,6443633176_xrlab_ai_privacy_policy.json,0,0,0,0,N/A,N/A
1636872963,1636872963_billstobudget_com_privacy_policy.json,20,7,1,7,browsing|device id|information|ip addr|pii|system ver|usage info,information
493558583,493558583_getchemistry_io_privacy_policy.json,264,27,2,27,app ver|audio|billing|browser type|browsing|device id|device info|employment|error report|gameplay|geo location|hardware|identifier|information|interest|ip addr|language|manufacturer|message log|model|phone num|pii|system ver|type|usage info|usage time|vr movement,information|pii
6450800917,N/A,0,0,0,0,N/A,N/A
6478800800,6478800800_drewbaumann_com_privacy_policy.json,71,14,1,14,billing|browser type|device id|email addr|error report|information|password|photo|pii|system ver|type|usage info|usage time|user id,billing
6445992145,6445992145_chroniclingapp_com_privacy_policy.json,8,2,2,3,information|non-pii,information|pii
6479238634,6479238634_raw_githubusercontent_com_privacy_policy.json,6,2,1,2,information|pii,information
6444069568,6444069568_eshumarneedi_com_privacy_policy.json,0,0,0,0,N/A,N/A
1463073824,N/A,0,0,0,0,N/A,N/A
6451395577,6451395577_clic_dance_privacy_policy.json,5,1,1,1,pii,pii
6480027632,6480027632_bkwebhero_com_privacy_policy.json,2,0,1,1,N/A,information
466715015,N/A,0,0,0,0,N/A,N/A
6477896692,6477896692_zanegolas_com_privacy_policy.json,5,2,0,2,information|pii,N/A
867539680,867539680_airwolf_space_privacy_policy.json,6,2,0,2,information|pii,N/A
6476446473,6476446473_coachboard_app_privacy_policy.json,31,11,1,11,browser type|browsing|geo location|information|ip addr|network|person name|phone num|pii|usage info|usage time,information
6476788088,6476788088_karlstorz_com_privacy_policy.json,80,18,1,18,account|browsing|comment|contact|device info|email addr|gameplay|geo location|information|ip addr|non-pii|password|person name|phone num|pii|sexuality|usage info|usage time,pii
6466742380,6466742380_appsfromouterspace_com_privacy_policy.json,81,12,1,12,camera|device id|device info|email addr|face|geo location|information|ip addr|non-pii|person name|photo|pii,pii
1532027293,1532027293_nickbaughan_com_privacy_policy.json,1,0,1,1,N/A,pii
1487937127,N/A,0,0,0,0,N/A,N/A
1616385207,1616385207_fpstudios_com_privacy_policy.json,46,8,0,8,browser type|email addr|information|ip addr|person name|pii|sexuality|user id,N/A
1614950275,1614950275_oncronica_com_privacy_policy.json,12,4,1,4,app ver|information|system ver|usage info,information
1461650987,1461650987_crouton_app_privacy_policy.json,84,14,3,14,billing|camera|contact|device id|device info|email addr|information|non-pii|person name|phone num|photo|pii|system ver|usage info,billing|information|pii
6467974863,N/A,0,0,0,0,N/A,N/A
1575093276,N/A,0,0,0,0,N/A,N/A
6478470622,N/A,0,0,0,0,N/A,N/A
6467633766,6467633766_davincieyeapp_com_privacy_policy.json,196,22,0,22,audio|browser type|browsing|camera|contact|device info|email addr|information|ip addr|language|network|non-pii|password|person name|photo|pii|system memory|system ver|type|usage info|usage time|user id,N/A
1519935634,1519935634_everlog_app_privacy_policy.json,5,4,0,4,information|photo|pii|usage info,N/A
1673607132,N/A,0,0,0,0,N/A,N/A
6474687296,6474687296_decathlon_com_privacy_policy.json,225,32,3,32,account|age|app ver|billing|browser type|browsing|button|camera|contact|device id|device info|email addr|gameplay|geo location|information|interest|ip addr|language|message log|network|non-pii|person name|phone num|photo|pii|screen|session|sexuality|system ver|type|usage info|usage time,browsing|pii|usage info
6472541408,N/A,0,0,0,0,N/A,N/A
6478209364,6478209364_swiftfox_co_privacy_policy.json,18,7,3,8,browsing|device id|information|ip addr|non-pii|pii|system ver,information|pii|usage info
1663958329,1663958329_staplegames_com_privacy_policy.json,0,0,0,0,N/A,N/A
6449253324,6449253324_diggirl_smicker_com_privacy_policy.json,0,0,0,0,N/A,N/A
