data_type,1st Party,Amplitude,Apple,Braze,Doubleclick,Facebook,Google,Google APIs,Microsoft,Mixpanel,Other 3rd Party,RevenueCat,TelemetryDeck,Unity,YouTube
account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
app ver,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
billing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
browsing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
employment,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
geo location,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0
ip addr,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
password,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
person name,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phone num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
session,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,2.0,2.0,0.0
system ver,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usage info,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,19.0,0.0,0.0,1.0,2.0
usage time,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,1.0
