data_type,1st Party,Amplitude,Apple,Braze,Doubleclick,Facebook,Google,Google APIs,Microsoft,Mixpanel,Other 3rd Party,RevenueCat,TelemetryDeck,Unity,YouTube
account,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
app ver,2.0,1.0,6.0,1.0,3.0,3.0,4.0,3.0,6.0,1.0,57.0,4.0,2.0,2.0,0.0
billing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
browsing,2.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0
employment,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
geo location,2.0,4.0,10.0,3.0,0.0,1.0,0.0,11.0,1.0,0.0,31.0,0.0,6.0,0.0,3.0
ip addr,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
password,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
person name,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
phone num,3.0,0.0,3.0,2.0,3.0,0.0,5.0,2.0,2.0,2.0,31.0,0.0,0.0,1.0,2.0
session,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
system ver,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,14.0,3.0,37.0,11.0,2.0,2.0,1.0
usage info,10.0,10.0,0.0,6.0,0.0,0.0,2.0,3.0,12.0,16.0,51.0,5.0,8.0,4.0,5.0
usage time,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0
