app_name,UI State Recognition,Virtual Cursor Movement,State Comparison,UI_Wait,Total_Per_Iteration
 1Blocker,2.48,9.05,0.18,0.00,11.72
 AI Girlfriend: Chat & Connect,2.27,9.07,0.02,0.00,11.36
 Airmail - Your Mail With You,2.82,16.25,0.05,0.00,19.12
 Alo,3.17,6.19,0.15,0.00,9.51
 Bento|Craft Creative Workspace,2.50,9.25,0.20,0.00,11.96
 Box: The Content Cloud,1.87,13.94,0.01,0.00,15.82
 CardPointers for Credit Cards,2.59,8.55,0.02,0.00,11.17
 Cronica,2.85,14.03,0.16,0.00,17.04
 EMDR,2.58,7.28,0.16,0.00,10.02
 Floor Plan & AI Home - CamPlan,2.59,7.62,0.00,0.00,10.21
 GameTrack,3.01,8.54,0.03,0.00,11.58
 Hi Sticky: Notes SE + Widget,2.67,15.16,0.07,0.00,17.90
 Kitsune for MyAnimeList,2.83,10.54,0.11,0.00,13.48
 Magnet Crop,2.74,8.10,0.17,0.00,11.01
 Numerics,2.98,12.45,0.20,0.00,15.63
 OmniFocus 4,2.69,5.66,0.00,0.00,8.35
 PGA TOUR Vision,2.42,8.46,0.49,0.00,11.37
 Persona Chat - Make Friends,2.47,10.82,0.02,0.00,13.31
 Quick Notes - Capture,2.60,8.03,0.07,0.00,10.70
 Shotbot - Framed Screenshots,2.97,7.48,0.75,0.00,11.21
 Spatial Network,2.85,7.68,0.21,0.00,10.75
 Spatial Video Studio,2.69,9.27,0.11,0.00,12.07
 Study Snacks,2.67,10.24,0.06,0.00,12.97
 Turn Off the Lights for Safari,2.84,8.97,0.17,0.00,11.98
 heypster-gif,2.83,11.41,0.14,0.00,14.38
