category,app_name,x_time_seconds,y_cumulative_requests
Creative,Floor Plan & AI Home - CamPlan,0.0,1
Creative,Floor Plan & AI Home - CamPlan,0.09,2
Creative,Floor Plan & AI Home - CamPlan,0.1,3
Creative,Floor Plan & AI Home - CamPlan,0.12,4
Creative,Floor Plan & AI Home - CamPlan,0.54,5
Creative,Floor Plan & AI Home - CamPlan,0.6,6
Creative,Floor Plan & AI Home - CamPlan,31.11,7
Creative,Floor Plan & AI Home - CamPlan,59.77,8
Creative,Floor Plan & AI Home - CamPlan,92.32,9
Creative,Floor Plan & AI Home - CamPlan,142.15,10
Creative,Floor Plan & AI Home - CamPlan,142.18,11
Creative,Floor Plan & AI Home - CamPlan,142.21,12
Creative,Floor Plan & AI Home - CamPlan,172.49,13
Creative,Floor Plan & AI Home - CamPlan,201.94,14
Creative,Floor Plan & AI Home - CamPlan,264.85,15
Creative,Floor Plan & AI Home - CamPlan,264.88,16
Creative,Floor Plan & AI Home - CamPlan,264.9,17
Creative,Floor Plan & AI Home - CamPlan,295.7,18
Creative,Floor Plan & AI Home - CamPlan,324.74,19
Creative,Floor Plan & AI Home - CamPlan,355.99,20
Creative,Magnet Crop,0.0,1
Creative,Magnet Crop,507.71,2
Creative,Magnet Crop,802.72,3
Creative,Magnet Crop,983.05,4
Creative,Shotbot - Framed Screenshots,0.0,1
Creative,Shotbot - Framed Screenshots,0.04,2
Creative,Shotbot - Framed Screenshots,512.79,3
Creative,Shotbot - Framed Screenshots,512.82,4
Creative,Spatial Video Studio,0.0,1
Creative,heypster-gif,0.0,1
Creative,heypster-gif,0.0,2
Creative,heypster-gif,0.77,3
Creative,heypster-gif,0.85,4
Creative,heypster-gif,1.15,5
Creative,heypster-gif,1.15,6
Creative,heypster-gif,1.15,7
Creative,heypster-gif,1.15,8
Creative,heypster-gif,1.15,9
Creative,heypster-gif,1.15,10
Creative,heypster-gif,5.15,11
Creative,heypster-gif,5.17,12
Creative,heypster-gif,13.44,13
Creative,heypster-gif,13.96,14
Creative,heypster-gif,13.96,15
Creative,heypster-gif,13.96,16
Creative,heypster-gif,13.96,17
Creative,heypster-gif,13.96,18
Creative,heypster-gif,13.96,19
Creative,heypster-gif,13.96,20
Creative,heypster-gif,13.97,21
Creative,heypster-gif,13.97,22
Creative,heypster-gif,13.97,23
Creative,heypster-gif,13.97,24
Creative,heypster-gif,13.97,25
Creative,heypster-gif,13.97,26
Creative,heypster-gif,13.97,27
Creative,heypster-gif,13.97,28
Creative,heypster-gif,13.97,29
Creative,heypster-gif,13.97,30
Creative,heypster-gif,13.97,31
Creative,heypster-gif,16.06,32
Creative,heypster-gif,19.45,33
Creative,heypster-gif,19.81,34
Creative,heypster-gif,19.81,35
Creative,heypster-gif,19.81,36
Creative,heypster-gif,19.81,37
Entertainment,Box: The Content Cloud,0.0,1
Entertainment,Box: The Content Cloud,0.02,2
Entertainment,Box: The Content Cloud,0.18,3
Entertainment,Box: The Content Cloud,0.52,4
Entertainment,Box: The Content Cloud,4.88,5
Entertainment,Box: The Content Cloud,88.69,6
Entertainment,Box: The Content Cloud,126.93,7
